bs,clip_size,device,dropout,embed_size,epochs,ffn_dim,head_size,lr,n_layers,newpath,pred_hid,sch_decay,to_predict,epoch,model,q_median,q_90,q_mean
32,50,cuda:0,0.1,64,50,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,832901096184518609.pt,1.606148234544016,4.55933800169787,2.728047873854277
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,6181587297381774371.pt,1.157173659587961,2.569588304383324,1.7435005338160132
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,42,6181587297381774371.pt,1.1530076425374711,2.5736512471584883,1.7393523309475076
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,46,6181587297381774371.pt,1.1666428411451355,2.50289946804783,1.7301516116900602
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,50,6181587297381774371.pt,1.1288895153577516,2.4838558895135874,1.708932216896821
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,62,6181587297381774371.pt,1.1300968177035853,2.4750229516747564,1.6814082109966548
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,74,6181587297381774371.pt,1.1154012607462438,2.4068408670178,1.6674919265832944
128,50,cpu,0.1,64,45,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,-4879465482170276877.pt,1.1514952236911735,2.546193464150716,1.7091747684545089
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,5757353625324461183.pt,1.1841769240438356,2.6166275408211583,1.7787423791319608
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,43,5757353625324461183.pt,1.1599957324418593,2.562766973158724,1.7475982064828255
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,45,5757353625324461183.pt,1.1652122902409752,2.5565399468097745,1.7323503042517114
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,54,5757353625324461183.pt,1.166026299272009,2.5008001257503607,1.724700498356066
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,59,5757353625324461183.pt,1.2010723071117635,2.5135414730402403,1.719829015483343
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,64,5757353625324461183.pt,1.14989262857255,2.4893053520757427,1.6929428738348216
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,5757353625324461183.pt,1.1693075912739397,2.4388315895426214,1.7429181411143828
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,43,5757353625324461183.pt,1.1822120909567222,2.51802117658839,1.7327999950060475
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,45,5757353625324461183.pt,1.152220699134084,2.468905572872836,1.7178875207310091
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,48,5757353625324461183.pt,1.16685353530406,2.4524125105210657,1.7053378500635168
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,50,5757353625324461183.pt,1.1538777998086864,2.586469479606101,1.7001977188867579
